1,1;1,11|2,1;1,10|2,2;1,10|2,3;1,9|2,4;1,8|2,5;1,8|2,5;1,8|2,6;1,8|2,6;2,8|2,7;2,9|2,8;2,9|1,8;2,9|1,8;2,9|1,9;2,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9|1,9;3,9
1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1|1,1;11,1
1,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11|2,1;11,11
1,11;1,1|2,11;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1|2,10;1,1
1,11;11,1|1,11;11,1|1,11;11,2|1,10;11,1|1,10;10,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;10,1|1,11;11,1|1,11;11,1|1,11;11,1|1,10;10,1|1,10;10,1|1,10;10,1|1,11;11,1|1,10;10,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;10,1|1,10;10,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;10,1|1,10;10,1|1,10;9,1|1,10;10,1|1,10;10,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,10;10,1|1,10;10,1|1,10;10,1|1,10;10,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;9,1|1,10;10,1|1,10;10,1|1,10;9,1|1,10;10,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,2|1,10;11,1|1,10;10,1|1,11;11,1|1,11;11,2|1,10;11,1|1,10;10,1|1,10;10,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,2|1,10;11,1|1,10;10,1|1,10;10,1|1,10;10,1|1,11;11,1|1,11;11,1|1,10;10,1|1,10;9,1|1,10;9,1|1,10;10,1|1,10;10,1|1,11;11,1|1,11;11,1|1,11;11,2|1,10;11,1|1,10;10,1|1,10;10,1|1,10;10,1|1,10;10,1|1,10;9,1|1,10;9,1|1,10;9,1
1,11;11,11|1,11;10,11|2,11;10,10|2,10;9,10|2,9;8,10|1,9;7,10|2,9;6,10|2,9;5,10|2,9;4,10|2,9;4,9|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,9|2,9;3,10|2,9;3,9|2,9;3,10|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,9|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,9|2,9;3,10|2,9;3,9|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,9|2,9;3,9|2,9;3,10|2,9;3,10|2,9;3,9
11,1;1,1|11,2;1,1|10,2;1,1|9,2;1,1|8,2;2,1|8,2;1,1|7,2;1,1|6,2;1,2|6,2;1,3|5,2;1,4|5,2;1,4|5,2;1,4|5,2;1,4|5,2;1,4|4,2;1,3|3,2;1,3|2,2;1,3|2,2;2,3|2,3;1,3|2,3;1,3|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,3|2,3;1,3|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,3|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,3|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,3|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,2|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,3|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,3|2,3;1,3|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,3|2,3;1,3|2,3;1,3|2,3;1,3|2,3;1,2|2,3;1,2|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,3|2,3;1,2|2,3;1,3|2,3;1,2|2,3;1,2
11,1;1,11|10,1;1,10|10,2;1,9|9,2;2,9|8,2;2,9|7,2;2,9|6,2;2,9|5,2;2,9|4,2;2,9|3,2;2,8|3,3;2,7|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6|2,3;2,6
11,1;11,11|11,1;11,10|11,2;11,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9|11,1;10,9
11,11;1,1|11,11;2,1|10,11;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1|10,10;1,1|10,9;1,1
